zcta5,year,amenity_source_rows,amenity_type_count,amenity_est_total,amenity_employee_bucket_total,amenity_est_bucket_gap,amenities_observed,amenity_est_coffee_shops,amenity_est_fitness,amenity_est_parks,amenity_est_restaurants,amenity_emp_1000_plus,amenity_emp_100_249,amenity_emp_10_19,amenity_emp_1_4,amenity_emp_20_49,amenity_emp_250_499,amenity_emp_500_999,amenity_emp_50_99,amenity_emp_5_9,amenities_population_for_rate,amenity_per_10k_total,amenity_per_10k_bucket_gap,amenity_per_10k_coffee_shops,amenity_per_10k_fitness,amenity_per_10k_parks,amenity_per_10k_restaurants
90006,2023,2,2,114,110,4,True,27,0,0,87,0,0,29,55,13,0,0,5,8,55192.0,20.655167415567472,0.7247427163357009,4.892013335265981,0.0,0.0,15.763154080301494
90007,2012,2,2,29,29,0,True,11,0,0,18,0,0,6,11,6,0,0,1,5,43653.0,6.6433005749891185,0.0,2.5198726318924245,0.0,0.0,4.1234279430966945
90007,2013,2,2,34,34,0,True,15,0,0,19,0,0,9,14,5,0,0,1,5,43173.0,7.875292428137957,0.0,3.4743937182961573,0.0,0.0,4.400898709841799
90007,2014,2,2,34,34,0,True,11,0,0,23,0,0,8,10,7,0,0,1,8,43779.0,7.766280636835012,0.0,2.512620206034857,0.0,0.0,5.2536604308001555
90007,2015,2,2,36,36,0,True,12,0,0,24,0,0,10,11,9,0,0,0,6,43426.0,8.289964537373923,0.0,2.7633215124579746,0.0,0.0,5.526643024915949
90007,2016,3,3,40,40,0,True,13,1,0,26,0,0,9,14,10,0,0,0,7,41979.0,9.528573810714882,0.0,3.096786488482336,0.23821434526787202,0.0,6.193572976964672
90007,2017,2,2,44,43,1,True,15,0,0,29,0,0,10,15,11,0,0,0,7,41221.0,10.674170932291794,0.24259479391572256,3.6389219087358384,0.0,0.0,7.035249023555955
90007,2018,2,2,40,36,4,True,11,0,0,29,0,0,6,16,8,0,0,0,6,41716.0,9.588647041902387,0.9588647041902388,2.6368779365231565,0.0,0.0,6.951769105379231
90007,2019,2,2,42,36,6,True,11,0,0,31,0,0,6,19,11,0,0,0,0,42433.0,9.897956778922065,1.413993825560295,2.5923220135272076,0.0,0.0,7.305634765394857
90007,2020,2,2,40,39,1,True,13,0,0,27,0,0,9,13,12,0,0,0,5,42380.0,9.438414346389807,0.23596035865974516,3.067484662576687,0.0,0.0,6.370929683813119
