model,transformed_feature,coefficient,abs_coefficient,feature,source_group
ridge_linear_regression,numeric__amenity_per_10k_restaurants,0.007688384076573129,0.007688384076573129,amenity_per_10k_restaurants,amenities
ridge_linear_regression,numeric__age_18_24_share,0.007241167932988901,0.007241167932988901,age_18_24_share,demographics
ridge_linear_regression,"categorical__parent_metro_region_Eureka, CA",-0.006887211733555887,0.006887211733555887,parent_metro_region,listings
ridge_linear_regression,numeric__amenity_per_10k_parks,0.006400297375876107,0.006400297375876107,amenity_per_10k_parks,amenities
ridge_linear_regression,numeric__amenity_per_10k_fitness,-0.006335417143418454,0.006335417143418454,amenity_per_10k_fitness,amenities
ridge_linear_regression,numeric__amenity_per_10k_coffee_shops,0.005533109018870164,0.005533109018870164,amenity_per_10k_coffee_shops,amenities
ridge_linear_regression,numeric__log1p_n_schools,0.005324554599155817,0.005324554599155817,log1p_n_schools,school_quality
ridge_linear_regression,"categorical__parent_metro_region_San Diego, CA",-0.0036180806193897297,0.0036180806193897297,parent_metro_region,listings
ridge_linear_regression,numeric__male_share,-0.003579382311727386,0.003579382311727386,male_share,demographics
ridge_linear_regression,numeric__race_two_or_more_share,-0.003366073115103063,0.003366073115103063,race_two_or_more_share,demographics
ridge_linear_regression,numeric__annual_median_dom,-0.0029249221079226118,0.0029249221079226118,annual_median_dom,listings
ridge_linear_regression,"categorical__parent_metro_region_San Francisco, CA",-0.0027944994253630284,0.0027944994253630284,parent_metro_region,listings
ridge_linear_regression,numeric__race_american_indian_or_alaska_native_alone_share,0.002447108050546376,0.002447108050546376,race_american_indian_or_alaska_native_alone_share,demographics
